"","title","code","genre","country","runtime","release","director","actor","view_class","netizen_score","netizen_count","ntz_male","ntz_female","ntz_10","ntz_20","ntz_30","ntz_40","ntz_50","audience_score","audience_count","audience_male","audience_female","audience_10","audience_20","audience_30","audience_40","audience_50"
"1","그린 북","171539","드라마","미국","130분 "," 2019.01.09 개봉","피터 패럴리","비고 모텐슨(토니 발레롱가), 마허샬라 알리(돈 셜리 박사)","[국내] 12세 관람가 [해외] PG-13도움말","9.59","7,246","9.51","9.79","9.63","9.65","9.66","9.59","9.46","9.55","2,072","9.52","9.57","9.60","9.50","9.58","9.53","9.58"
"2","가버나움","174830","드라마","레바논, 프랑스","126분 "," 2019.01.24 개봉","나딘 라바키","자인 알 라피아(자인), 요르다노스 시프로우(라힐)","[국내] 15세 관람가 [해외] R도움말","9.59","3,309","9.29","9.86","9.81","9.65","9.68","9.62","9.52","9.54","1,394","9.39","9.61","9.59","9.56","9.51","9.58","9.49"
"3","디지몬 어드벤처 라스트 에볼루션 : 인연","192613","애니메이션, 모험","일본","94분 "," 2020.07.17 개봉","타구치 토모히사","하나에 나츠키(야가미 타이치), 호소야 요시마사(이시다 야마토), 사카모토 치카(아구몬)","[국내] 12세 관람가","9.58","584","9.49","9.89","7.58","9.84","8.44","5.50","10.0",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","먼 훗날 우리","175092","드라마, 멜로/로맨스","중국","120분 ",NA,"유약영","정백연, 주동우, 톈좡좡",NA,"9.56","565","9.29","9.75","9.91","9.76","9.26","9.43","9.69",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","베일리 어게인","144906","모험, 코미디, 드라마","미국","100분 "," 2018.11.22 개봉","라세 할스트롬","조시 게드(베일리/ 엘리/ 티노/ 버디 목소리), 데니스 퀘이드(이든), K.J. 아파(십대 이든)","[국내] 전체 관람가 [해외] PG도움말","9.53","2,391","9.21","9.79","9.65","9.66","9.53","9.47","9.31","9.42","464","9.36","9.45","9.71","9.52","9.36","9.14","9.58"
"6","극장판 바이올렛 에버가든","196843","애니메이션, 드라마, 판타지","일본","140분 "," 2020.11.12 개봉","이시다테 타이치","이시카와 유이(바이올렛 에버가든 목소리), 나미카와 다이스케(길베르트 부겐빌리아 목소리)","[국내] 전체 관람가","9.51","618","9.36","9.66","9.65","9.42","8.88","9.38","9.71","9.69","197","9.73","9.58","9.94","9.66","9.61","9.53","10.0"
"7","아일라","169240","드라마, 전쟁","한국, 터키","123분 "," 2018.06.21 개봉","잔 울카이","김설(아일라), 이스마일 하지오글루(슐레이만)","[국내] 15세 관람가","9.50","1,912","9.28","9.79","9.68","9.56","9.58","9.43","9.34","9.13","70","8.81","9.32","0.00","9.45","8.74","9.33","8.17"
"8","원더","151196","드라마","미국","113분 "," 2017.12.27 개봉","스티븐 크보스키","제이콥 트렘블레이(어기 풀먼), 줄리아 로버츠(이자벨 풀먼), 오웬 윌슨(네이트 풀먼)","[국내] 전체 관람가 [해외] PG도움말","9.49","3,401","9.18","9.79","9.60","9.59","9.55","9.38","9.17","9.43","314","9.37","9.46","10.0","9.45","9.46","9.31","9.56"
"9","포드 V 페라리","181710","액션, 드라마","미국","152분 "," 2019.12.04 개봉","제임스 맨골드","맷 데이먼(캐롤 셸비), 크리스찬 베일(켄 마일스)","[국내] 12세 관람가","9.49","8,179","9.44","9.68","9.59","9.64","9.50","9.32","9.41","9.32","1,118","9.35","9.24","9.58","9.39","9.24","9.41","8.90"
"10","당갈","157243","드라마, 액션","인도","161분 "," 2018.04.25 개봉","니테쉬 티와리","아미르 칸(마하비르 싱 포갓), 파티마 사나 셰이크(기타), 산야 말호트라(바비타)","[국내] 12세 관람가","9.48","2,272","9.06","9.84","9.37","9.63","9.41","9.38","9.38","9.62","306","9.26","9.73","9.65","9.79","9.50","8.85","9.38"
"11","주전장","179518","다큐멘터리","미국","121분 "," 2019.07.25 개봉","미키 데자키",NA,"[국내] 전체 관람가","9.48","1,414","9.01","9.85","9.80","9.56","9.46","9.46","8.83","9.67","320","9.65","9.68","9.90","9.64","9.65","9.82","9.47"
"12","부활: 그 증거","194334","다큐멘터리","한국","99분 "," 2020.10.08 개봉","김상철","권오중(본인), 이성혜(본인), 이용규(본인)","[국내] 전체 관람가","9.46","368","8.52","9.97","7.94","9.43","9.38","9.58","9.51","9.85","54","9.69","9.90","10.0","9.00","9.95","9.86","10.0"
"13","쇼생크 탈출","=17421","드라마","미국","142분 ","2016.02.24 재개봉,  1995.01.28 개봉","프랭크 다라본트","팀 로빈스(앤디 듀프레인), 모건 프리먼(엘리스 보이드 레드 레딩)","[국내] 15세 관람가 [해외] R도움말","9.44","18,169","9.41","9.54","9.51","9.53","9.41","9.29","8.60","9.88","17","10.0","9.75","0.00","9.86","10.0","10.0","0.00"
"14","터미네이터 2:오리지널","=10200","SF, 액션, 스릴러","미국, 프랑스","137분 ","2019.10.24 재개봉, 2013.11.14 재개봉,  1991.07.06 개봉","제임스 카메론","아놀드 슈왈제네거(터미네이터)","[국내] 15세 관람가 [해외] R도움말","9.44","7,426","9.46","9.36","9.41","9.48","9.57","9.38","8.96","9.51","39","9.42","9.88","0.00","9.92","9.92","8.75","9.33"
"15","덕구","154667","드라마","한국","91분 "," 2018.04.05 개봉","방수인","이순재(덕구할배), 정지훈(덕구)","[국내] 전체 관람가","9.42","2,560","8.92","9.80","9.71","9.63","9.28","8.96","9.19","9.30","265","9.12","9.40","10.0","9.23","9.46","9.14","9.08"
"16","라이언 일병 구하기","=18988","전쟁, 액션, 드라마","미국","170분 "," 1998.09.12 개봉","스티븐 스필버그","톰 행크스(존 밀러 대위), 에드워드 번즈(Pvt. 리처드 레이번), 톰 시즈모어(Sgt. 마이클 호바스)","[국내] 15세 관람가 [해외] R도움말","9.42","4,582","9.45","9.36","9.49","9.40","9.36","9.52","9.12",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","보헤미안 랩소디","156464","드라마","미국, 영국","134분 "," 2018.10.31 개봉","브라이언 싱어","라미 말렉(프레디 머큐리), 루시 보인턴(메리 오스틴), 귈림 리(브라이언 메이)","[국내] 12세 관람가","9.42","39,181","9.24","9.63","9.47","9.38","9.42","9.42","9.37","9.45","13,146","9.39","9.50","9.46","9.47","9.47","9.46","9.35"
"18","월-E","=69105","애니메이션, SF, 가족, 코미디, 멜로/로맨스, 모험","미국","104분 "," 2008.08.06 개봉","앤드류 스탠튼","벤 버트(월-E / M-O 목소리), 엘리사 나이트(이브 목소리), 제프 갈린(선장 목소리)","[국내] 전체 관람가 [해외] G도움말","9.41","10,179","9.34","9.54","9.42","9.43","9.48","9.30","9.22",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","나 홀로 집에","=10016","모험, 범죄, 가족, 코미디","미국","105분 "," 1991.07.06 개봉","크리스 콜럼버스","맥컬리 컬킨(케빈 맥콜리스터), 조 페시(좀도둑 해리 림), 다니엘 스턴(좀도둑 마브 머챈츠)","[국내] 전체 관람가 [해외] PG도움말","9.41","4,256","9.29","9.60","9.61","9.28","9.11","9.34","8.29",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","사운드 오브 뮤직","=10102","멜로/로맨스, 뮤지컬, 드라마","미국","172분 ","2017.02.02 재개봉, 2012.01.23 재개봉, 1995.09.30 재개봉, 1978.02.04 재개봉,  1969.10.29 개봉","로버트 와이즈","줄리 앤드류스(마리아), 크리스토퍼 플러머(캡틴 조지 본 트랩), 엘레노 파커(남작 부인)","[국내] 전체 관람가 [해외] NR도움말","9.41","4,622","9.00","9.77","9.56","9.25","9.31","9.44","8.94","9.60","10","10.0","9.50","10.0","9.50","0.00","10.0","0.00"
"21","클래식","=35939","멜로/로맨스, 드라마","한국","132분 "," 2003.01.30 개봉","곽재용","손예진(지혜/주희), 조승우(준하), 조인성(상민)","[국내] 12세 관람가","9.41","9,706","9.34","9.55","9.57","9.32","9.39","9.41","9.30","9.79","14","9.86","9.71","10.0","9.62","10.0","10.0","0.00"
"22","헬프","=82432","드라마","미국","146분 "," 2011.11.03 개봉","테이트 테일러","엠마 스톤(유지니아 '스키터' 펠런), 비올라 데이비스(에이블린 클락), 옥타비아 스펜서(미니 잭슨)","[국내] 전체 관람가 [해외] PG-13도움말","9.42","3,738","9.15","9.65","9.64","9.48","9.36","9.20","8.97",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","인생은 아름다워","=22126","드라마, 코미디","이탈리아","116분 ","2016.04.13 재개봉,  1999.03.06 개봉","로베르토 베니니","로베르토 베니니(귀도), 니콜레타 브라스키(도라)","[국내] 전체 관람가 [해외] PG-13도움말","9.40","12,238","9.22","9.68","9.61","9.41","9.14","9.20","8.28","9.54","28","9.38","9.67","0.00","9.73","9.67","9.00","9.00"
"24","매트릭스","=24452","SF, 액션","미국","136분 ","2019.09.25 재개봉, 2016.09.22 재개봉,  1999.05.15 개봉","릴리 워쇼스키, 라나 워쇼스키","키아누 리브스(네오), 로렌스 피시번(모피어스)","[국내] 12세 관람가 [해외] R도움말","9.40","4,902","9.44","9.31","9.50","9.42","9.43","9.32","8.72","9.63","8","10.0","9.25","0.00","10.0","9.00","9.67","0.00"
"25","포레스트 검프","=17159","드라마, 코미디","미국","142분 ","2016.09.07 재개봉,  1994.10.15 개봉","로버트 저메키스","톰 행크스(포레스트 검프)","[국내] 12세 관람가 [해외] PG-13도움말","9.40","8,092","9.37","9.50","9.56","9.42","9.15","9.30","8.77","9.52","120","9.56","9.48","9.67","9.42","9.66","9.57","10.0"
"26","빽 투 더 퓨쳐","=10002","SF, 코미디","미국","120분 ","2015.10.21 재개봉,  1987.07.17 개봉","로버트 저메키스","마이클 J. 폭스(마티 맥플라이), 크리스토퍼 로이드(에메트 브라운 박사), 리 톰슨(로레인 베인스 맥플라이)","[국내] 12세 관람가 [해외] PG도움말","9.41","3,190","9.42","9.43","9.56","9.33","9.52","9.37","8.76","9.39","49","9.64","9.19","10.0","9.23","9.78","9.62","8.00"
"27","살인의 추억","=35901","범죄, 미스터리, 스릴러, 코미디, 드라마","한국","132분 "," 2003.04.25 개봉","봉준호","송강호(박두만), 김상경(서태윤)","[국내] 15세 관람가","9.40","6,837","9.41","9.42","9.45","9.48","9.42","9.37","8.62","9.65","17","9.45","10.0","9.67","9.75","9.50","10.0","9.00"
"28","위대한 쇼맨","106360","드라마, 뮤지컬","미국","104분 ","2020.05.21 재개봉,  2017.12.20 개봉","마이클 그레이시","휴 잭맨(P.T. 바넘), 잭 에프론(필립 칼라일), 미셸 윌리엄스(채러티 바넘)","[국내] 12세 관람가 [해외] PG도움말","9.40","15,708","9.41","9.49","9.54","9.42","9.43","9.44","9.46","9.31","3,885","9.41","9.24","9.36","9.36","9.29","9.12","9.18"
"29","글래디에이터","=29217","액션, 드라마","미국, 영국","154분 "," 2000.06.03 개봉","리들리 스콧","러셀 크로우(막시무스), 호아킨 피닉스(코모두스), 코니 닐슨(루실라)","[국내] 15세 관람가 [해외] R도움말","9.39","4,378","9.40","9.39","9.52","9.34","9.38","9.45","9.04",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","소년시절의 너","192066","멜로/로맨스, 드라마, 범죄, 가족","중국","135분 "," 2020.07.09 개봉","증국상","주동우(첸니엔), 이양천새(샤오 베이)","[국내] 15세 관람가","9.40","1,443","8.85","9.72","9.89","9.44","9.21","9.20","9.31","9.25","167","8.88","9.43","9.71","9.25","8.93","9.60","9.75"
"31","센과 치히로의 행방불명","=32686","애니메이션, 판타지, 모험, 가족","일본","126분 ","2015.02.05 재개봉,  2002.06.28 개봉","미야자키 하야오","히이라기 루미(치히로/센 목소리), 이리노 미유(하쿠 목소리)","[국내] 전체 관람가","9.39","13,436","8.99","9.74","9.68","9.15","8.50","9.22","8.93","9.58","426","9.35","9.68","9.76","9.65","9.44","9.23","9.20"
"32","타이타닉","=18847","멜로/로맨스, 드라마","미국","194분 ","2018.02.01 재개봉, 2012.04.05 재개봉,  1998.02.20 개봉","제임스 카메론","레오나르도 디카프리오(잭 도슨), 케이트 윈슬렛(로즈 드윗 부카더)","[국내] 15세 관람가 [해외] PG-13도움말","9.39","22,283","9.00","9.78","9.68","9.24","9.00","9.24","9.03","9.89","271","9.92","9.86","9.82","9.93","9.91","9.65","9.92"
"33","토이 스토리 3","=66463","애니메이션, 모험, 코미디, 가족, 판타지","미국","102분 "," 2010.08.05 개봉","리 언크리치","톰 행크스(우디 목소리), 팀 알렌(버즈 라이트이어 목소리), 조앤 쿠삭(제시 목소리)","[국내] 전체 관람가 [해외] G도움말","9.39","7,653","9.21","9.65","9.56","9.45","9.01","9.05","8.58",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","그대, 고맙소 : 김호중 생애 첫 팬미팅 무비","196828","공연실황","한국","80분 "," 2020.09.29 개봉","김호중",NA,"[국내] 전체 관람가","9.39","1,421","5.98","9.88","5.47","6.33","7.52","8.91","9.88",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","어벤져스: 엔드게임","136900","액션, SF","미국","181분 "," 2019.04.24 개봉","안소니 루소, 조 루소","로버트 다우니 주니어(토니 스타크 / 아이언맨), 크리스 에반스(스티브 로저스 / 캡틴 아메리카), 크리스 헴스워스(토르)","[국내] 12세 관람가","9.38","69,108","9.19","9.50","9.73","9.52","9.23","8.54","8.39","9.50","32,185","9.52","9.45","9.80","9.65","9.48","9.16","8.89"
"36","알라딘","163788","모험, 가족, 판타지, 뮤지컬, 멜로/로맨스","미국","128분 "," 2019.05.23 개봉","가이 리치","메나 마수드(알라딘), 윌 스미스(지니), 나오미 스콧(자스민)","[국내] 전체 관람가 [해외] PG도움말","9.38","27,450","8.95","9.68","9.75","9.48","9.24","9.13","9.09","9.42","8,535","9.30","9.49","9.75","9.47","9.46","9.31","9.07"
"37","헌터 킬러","=92125","액션, 스릴러","미국","121분 "," 2018.12.06 개봉","도노반 마시","제라드 버틀러(캡틴 조 글래스), 게리 올드만(찰스 도네건)","[국내] 15세 관람가 [해외] R도움말","9.37","4,106","9.32","9.68","9.65","9.48","9.46","9.23","9.23","9.00","102","9.02","8.88","10.0","9.03","8.87","8.86","9.20"
"38","죽은 시인의 사회","=10048","드라마","미국","128분 ","2016.08.17 재개봉,  1990.05.19 개봉","피터 위어","로빈 윌리엄스(존 키팅)","[국내] 12세 관람가 [해외] PG도움말","9.38","7,390","9.20","9.64","9.59","9.31","8.97","9.09","8.70","9.57","126","9.64","9.54","9.50","9.63","9.62","9.20","9.67"
"39","캐스트 어웨이","=31162","드라마, 모험","미국","143분 "," 2001.02.03 개봉","로버트 저메키스","톰 행크스(척 놀랜드), 헬렌 헌트(켈리 프리어스)","[국내] 12세 관람가 [해외] PG-13도움말","9.38","2,783","9.38","9.44","9.61","9.32","9.31","9.29","9.17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","레옹","=17170","범죄, 액션, 드라마","프랑스, 미국","132분 ","2020.06.11 재개봉, 2013.04.11 재개봉, 1998.01.24 재개봉,  1995.02.18 개봉","뤽 베송","장 르노(레옹), 나탈리 포트만(마틸다)","[국내] 청소년 관람불가 [해외] R도움말","9.37","9,621","9.31","9.51","9.53","9.43","9.12","9.33","9.07","9.44","9","8.50","9.71","0.00","9.38","10.0","0.00","0.00"
"41","동주","134899","드라마","한국","110분 "," 2016.02.17 개봉","이준익","강하늘(윤동주), 박정민(송몽규), 김인우(고등형사)","[국내] 12세 관람가","9.38","11,237","9.10","9.73","9.74","9.56","9.31","9.24","8.98","9.18","2,990","9.05","9.25","9.52","9.23","9.14","9.01","8.96"
"42","반지의 제왕: 왕의 귀환","=31796","판타지, 모험, 액션, 전쟁","뉴질랜드, 미국","263분 ","2017.01.25 재개봉,  2003.12.17 개봉","피터 잭슨","일라이저 우드(프로도), 숀 애스틴(샘), 앤디 서키스(골룸/스미골)","[국내] 12세 관람가 [해외] PG-13도움말","9.37","7,131","9.27","9.60","9.57","9.29","8.96","9.33","8.46",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","히든 피겨스","147092","드라마","미국","127분 "," 2017.03.23 개봉","데오도르 멜피","타라지 P. 헨슨(캐서린 존슨), 옥타비아 스펜서(도로시 본), 자넬 모네(메리 잭슨)","[국내] 12세 관람가","9.38","4,046","8.96","9.79","9.65","9.51","9.37","9.22","9.54","9.36","1,060","9.21","9.43","9.20","9.40","9.38","9.23","9.30"
"44","아이 캔 스피크","161850","드라마","한국","119분 "," 2017.09.21 개봉","김현석","나문희(나옥분), 이제훈(박민재)","[국내] 12세 관람가","9.37","14,907","9.13","9.70","9.76","9.46","9.37","9.34","8.95","9.23","4,416","9.20","9.26","9.53","9.26","9.13","9.24","9.11"
